RIR,国家,ISP,asn,服务名称,端口号,设备数量,protocol_id
AFRINIC,EG,ETM,36992,SSH,22,38,1
AFRINIC,EG,ETM,36992,FTP,21,60,5
AFRINIC,EG,ETM,36992,Telnet,23,59,6
AFRINIC,EG,ETM,36992,NTP,123,38,8
AFRINIC,KE,SFC,33771,SSH,22,6,1
AFRINIC,KE,SFC,33771,HTTP,80,1,2
AFRINIC,KE,SFC,33771,TLS,443,2,3
AFRINIC,KE,SFC,33771,Telnet,23,1,6
AFRINIC,KE,SFC,33771,DNS,53,1,7
AFRINIC,KE,SFC,33771,NTP,123,3,8
AFRINIC,NG,mtn,29465,SSH,22,3,1
AFRINIC,NG,mtn,29465,HTTP,80,1,2
AFRINIC,NG,mtn,29465,TLS,443,1,3
AFRINIC,NG,mtn,29465,Telnet,23,2,6
AFRINIC,TN,TPN,37705,SSH,22,68,1
AFRINIC,TN,TPN,37705,HTTP,80,5,2
AFRINIC,TN,TPN,37705,TLS,443,37,3
AFRINIC,TN,TPN,37705,FTP,21,2,5
AFRINIC,TN,TPN,37705,Telnet,23,3,6
AFRINIC,TN,TPN,37705,DNS,53,4,7
AFRINIC,TN,TPN,37705,NTP,123,96,8
AFRINIC,TN,TT,327934,SSH,22,2,1
AFRINIC,TN,TT,327934,HTTP-alt,8080,9,4
AFRINIC,TN,TT,327934,NTP,123,4,8
AFRINIC,TZ,WIA,36965,SSH,22,13,1
AFRINIC,TZ,WIA,36965,FTP,21,4,5
AFRINIC,TZ,WIA,36965,Telnet,23,3,6
AFRINIC,TZ,WIA,36965,NTP,123,57,8
AFRINIC,UG,REN,327687,SSH,22,5,1
AFRINIC,UG,REN,327687,HTTP,80,5,2
AFRINIC,UG,REN,327687,TLS,443,12,3
AFRINIC,ZA,WSC,328137,SSH,22,19,1
AFRINIC,ZA,WSC,328137,HTTP,80,12,2
AFRINIC,ZA,WSC,328137,FTP,21,18,5
AFRINIC,ZA,WSC,328137,Telnet,23,10,6
AFRINIC,ZA,WSC,328137,DNS,53,10,7
AFRINIC,ZA,WSC,328137,NTP,123,2,8
AFRINIC,ZW,ZOL,37332,SSH,22,5,1
AFRINIC,ZW,ZOL,37332,HTTP,80,5,2
AFRINIC,ZW,ZOL,37332,TLS,443,3,3
AFRINIC,ZW,ZOL,37332,Telnet,23,50,6
AFRINIC,ZW,ZOL,37332,DNS,53,3,7
APNIC,AU,Tels_0、 Tels_1,1221,SSH,22,339,1
APNIC,AU,Tels_0、 Tels_1,1221,HTTP,80,276,2
APNIC,AU,Tels_0、 Tels_1,1221,TLS,443,245,3
APNIC,AU,Tels_0、 Tels_1,1221,HTTP-alt,8080,18,4
APNIC,AU,Tels_0、 Tels_1,1221,FTP,21,31,5
APNIC,AU,Tels_0、 Tels_1,1221,Telnet,23,327,6
APNIC,AU,Tels_0、 Tels_1,1221,DNS,53,185,7
APNIC,AU,Tels_0、 Tels_1,1221,NTP,123,77,8
APNIC,AU,Optus,7474,Telnet,23,2,6
APNIC,AU,Optus,7474,NTP,123,1,8
APNIC,BH,Oore_0、 Oore_1,8781,SSH,22,291,1
APNIC,BH,Oore_0、 Oore_1,8781,HTTP,80,124,2
APNIC,BH,Oore_0、 Oore_1,8781,TLS,443,187,3
APNIC,BH,Oore_0,8781,HTTP-alt,8080,114,4
APNIC,BH,Oore_0,8781,Telnet,23,28,6
APNIC,BH,Oore_0,8781,DNS,53,187,7
APNIC,BH,Oore_0、 Oore_1,8781,NTP,123,168,8
APNIC,HK,PCCW,3491,SSH,22,6,1
APNIC,HK,PCCW,3491,Telnet,23,4,6
APNIC,HK,PCCW,3491,NTP,123,45,8
APNIC,HK,HKBN,9381,SSH,22,7,1
APNIC,HK,HKBN,9381,HTTP,80,28,2
APNIC,HK,HKBN,9381,TLS,443,13,3
APNIC,HK,HKBN,9381,Telnet,23,5,6
APNIC,HK,HKBN,9381,NTP,123,17,8
APNIC,ID,BN,17451,SSH,22,2,1
APNIC,ID,BN,17451,HTTP,80,7,2
APNIC,ID,BN,17451,DNS,53,1,7
APNIC,ID,Telk,23693,SSH,22,20659,1
APNIC,ID,Telk,23693,HTTP,80,17509,2
APNIC,ID,Telk,23693,TLS,443,18905,3
APNIC,ID,Telk,23693,HTTP-alt,8080,20863,4
APNIC,ID,Telk,23693,FTP,21,13889,5
APNIC,ID,Telk,23693,Telnet,23,19855,6
APNIC,ID,Telk,23693,DNS,53,13999,7
APNIC,ID,Telk,23693,NTP,123,8,8
APNIC,ID,XLA,24203,SSH,22,124,1
APNIC,ID,XLA,24203,HTTP,80,119,2
APNIC,ID,XLA,24203,TLS,443,49,3
APNIC,ID,XLA,24203,HTTP-alt,8080,16,4
APNIC,ID,XLA,24203,FTP,21,4,5
APNIC,ID,XLA,24203,DNS,53,10,7
APNIC,ID,XLA,24203,NTP,123,50,8
APNIC,JP,KDDI,2516,SSH,22,7,1
APNIC,JP,KDDI,2516,HTTP,80,1691,2
APNIC,JP,KDDI,2516,TLS,443,627,3
APNIC,JP,KDDI,2516,HTTP-alt,8080,15150,4
