[2025-05-04 12:51:29] 开始统计全球IPv6边界网关设备暴露服务情况
==========================================
[2025-05-04 12:51:29] 正在统计 AFRINIC 区域的IPv6边界网关设备暴露服务...
[2025-05-04 12:51:32] 正在统计 APNIC 区域的IPv6边界网关设备暴露服务...
[2025-05-04 12:51:59] 正在统计 ARIN 区域的IPv6边界网关设备暴露服务...
[2025-05-04 12:54:14] 正在统计 LACNIC 区域的IPv6边界网关设备暴露服务...
[2025-05-04 12:56:32] 正在统计 Original 区域的IPv6边界网关设备暴露服务...
[2025-05-04 12:56:56] 正在统计 RIPE 区域的IPv6边界网关设备暴露服务...
[2025-05-04 12:57:25] 正在汇总国家级别的服务统计...
[2025-05-04 12:57:30] 正在汇总RIR级别的服务统计...
[2025-05-04 12:57:30] RIR级别IPv6边界网关设备暴露服务统计结果:
==========================================
[2025-05-04 12:57:30] RIR        服务          设备数量   
==========================================
[2025-05-04 12:57:30] AFRINIC    ntp_123         200            
[2025-05-04 12:57:30] AFRINIC    ssh_22          159            
[2025-05-04 12:57:30] AFRINIC    telnet_23       128            
[2025-05-04 12:57:30] AFRINIC    ftp_21          84             
[2025-05-04 12:57:30] AFRINIC    tls_443         55             
[2025-05-04 12:57:30] AFRINIC    http_80         29             
[2025-05-04 12:57:30] AFRINIC    dns_a_53        18             
[2025-05-04 12:57:30] AFRINIC    http_8080       9              
[2025-05-04 12:57:30] APNIC      http_80         948233         
[2025-05-04 12:57:30] APNIC      ftp_21          947698         
[2025-05-04 12:57:30] APNIC      tls_443         59103          
[2025-05-04 12:57:30] APNIC      http_8080       36422          
[2025-05-04 12:57:30] APNIC      ssh_22          33340          
[2025-05-04 12:57:30] APNIC      telnet_23       31065          
[2025-05-04 12:57:30] APNIC      dns_a_53        23196          
[2025-05-04 12:57:30] APNIC      ntp_123         1287           
[2025-05-04 12:57:30] ARIN       ssh_22          2741704        
[2025-05-04 12:57:30] ARIN       http_80         470532         
[2025-05-04 12:57:30] ARIN       tls_443         317658         
[2025-05-04 12:57:30] ARIN       http_8080       74579          
[2025-05-04 12:57:30] ARIN       ftp_21          49181          
[2025-05-04 12:57:30] ARIN       telnet_23       21318          
[2025-05-04 12:57:30] ARIN       dns_a_53        4919           
[2025-05-04 12:57:30] ARIN       ntp_123         1883           
[2025-05-04 12:57:30] LACNIC     http_80         249797         
[2025-05-04 12:57:30] LACNIC     telnet_23       245452         
[2025-05-04 12:57:30] LACNIC     ssh_22          39587          
[2025-05-04 12:57:30] LACNIC     tls_443         3235           
[2025-05-04 12:57:30] LACNIC     dns_a_53        3189           
[2025-05-04 12:57:30] LACNIC     ntp_123         2407           
[2025-05-04 12:57:30] LACNIC     http_8080       1163           
[2025-05-04 12:57:30] LACNIC     ftp_21          117            
[2025-05-04 12:57:30] Original   http_80         332002         
[2025-05-04 12:57:30] Original   dns_a_53        209521         
[2025-05-04 12:57:30] Original   http_8080       198948         
[2025-05-04 12:57:30] Original   tls_443         64223          
[2025-05-04 12:57:30] Original   ssh_22          32674          
[2025-05-04 12:57:30] Original   ftp_21          13151          
[2025-05-04 12:57:30] Original   telnet_23       8082           
[2025-05-04 12:57:30] Original   ntp_123         7258           
[2025-05-04 12:57:30] RIPE       http_80         105311         
[2025-05-04 12:57:30] RIPE       dns_a_53        63458          
[2025-05-04 12:57:30] RIPE       tls_443         60755          
[2025-05-04 12:57:30] RIPE       telnet_23       45321          
[2025-05-04 12:57:30] RIPE       ftp_21          37956          
[2025-05-04 12:57:30] RIPE       ssh_22          25037          
[2025-05-04 12:57:30] RIPE       http_8080       4461           
[2025-05-04 12:57:30] RIPE       ntp_123         1825           
==========================================
[2025-05-04 12:57:30] 国家级别IPv6边界网关设备暴露服务统计结果:
==========================================
[2025-05-04 12:57:30] RIR        国家     服务          设备数量   
==========================================
[2025-05-04 12:57:30] AFRINIC    EG         ftp_21          60             
[2025-05-04 12:57:30] AFRINIC    EG         telnet_23       59             
[2025-05-04 12:57:30] AFRINIC    EG         ntp_123         38             
[2025-05-04 12:57:30] AFRINIC    EG         ssh_22          38             
[2025-05-04 12:57:30] AFRINIC    KE         ssh_22          6              
[2025-05-04 12:57:30] AFRINIC    KE         ntp_123         3              
[2025-05-04 12:57:30] AFRINIC    KE         tls_443         2              
[2025-05-04 12:57:30] AFRINIC    KE         dns_a_53        1              
[2025-05-04 12:57:30] AFRINIC    KE         http_80         1              
[2025-05-04 12:57:30] AFRINIC    KE         telnet_23       1              
[2025-05-04 12:57:30] AFRINIC    NG         ssh_22          3              
[2025-05-04 12:57:30] AFRINIC    NG         telnet_23       2              
[2025-05-04 12:57:30] AFRINIC    NG         http_80         1              
[2025-05-04 12:57:30] AFRINIC    NG         tls_443         1              
[2025-05-04 12:57:30] AFRINIC    TN         ntp_123         100            
[2025-05-04 12:57:30] AFRINIC    TN         ssh_22          70             
[2025-05-04 12:57:30] AFRINIC    TN         tls_443         37             
[2025-05-04 12:57:30] AFRINIC    TN         http_8080       9              
[2025-05-04 12:57:30] AFRINIC    TN         http_80         5              
[2025-05-04 12:57:30] AFRINIC    TN         dns_a_53        4              
[2025-05-04 12:57:30] AFRINIC    TN         telnet_23       3              
[2025-05-04 12:57:30] AFRINIC    TN         ftp_21          2              
[2025-05-04 12:57:30] AFRINIC    TZ         ntp_123         57             
[2025-05-04 12:57:30] AFRINIC    TZ         ssh_22          13             
[2025-05-04 12:57:30] AFRINIC    TZ         ftp_21          4              
[2025-05-04 12:57:30] AFRINIC    TZ         telnet_23       3              
[2025-05-04 12:57:30] AFRINIC    UG         tls_443         12             
[2025-05-04 12:57:30] AFRINIC    UG         http_80         5              
[2025-05-04 12:57:30] AFRINIC    UG         ssh_22          5              
[2025-05-04 12:57:30] AFRINIC    ZA         ssh_22          19             
[2025-05-04 12:57:30] AFRINIC    ZA         ftp_21          18             
[2025-05-04 12:57:30] AFRINIC    ZA         http_80         12             
[2025-05-04 12:57:30] AFRINIC    ZA         dns_a_53        10             
[2025-05-04 12:57:30] AFRINIC    ZA         telnet_23       10             
[2025-05-04 12:57:30] AFRINIC    ZA         ntp_123         2              
[2025-05-04 12:57:30] AFRINIC    ZW         telnet_23       50             
[2025-05-04 12:57:30] AFRINIC    ZW         http_80         5              
[2025-05-04 12:57:30] AFRINIC    ZW         ssh_22          5              
[2025-05-04 12:57:30] AFRINIC    ZW         dns_a_53        3              
[2025-05-04 12:57:30] AFRINIC    ZW         tls_443         3              
[2025-05-04 12:57:30] APNIC      AU         ssh_22          339            
[2025-05-04 12:57:30] APNIC      AU         telnet_23       329            
[2025-05-04 12:57:30] APNIC      AU         http_80         276            
[2025-05-04 12:57:30] APNIC      AU         tls_443         245            
[2025-05-04 12:57:30] APNIC      AU         dns_a_53        185            
[2025-05-04 12:57:30] APNIC      AU         ntp_123         78             
[2025-05-04 12:57:30] APNIC      AU         ftp_21          31             
[2025-05-04 12:57:30] APNIC      AU         http_8080       18             
[2025-05-04 12:57:30] APNIC      BH         ssh_22          291            
[2025-05-04 12:57:30] APNIC      BH         dns_a_53        187            
[2025-05-04 12:57:30] APNIC      BH         tls_443         187            
[2025-05-04 12:57:30] APNIC      BH         ntp_123         168            
[2025-05-04 12:57:30] APNIC      BH         http_80         124            
[2025-05-04 12:57:30] APNIC      BH         http_8080       114            
[2025-05-04 12:57:30] APNIC      BH         telnet_23       28             
[2025-05-04 12:57:30] APNIC      HK         ntp_123         62             
[2025-05-04 12:57:30] APNIC      HK         http_80         28             
[2025-05-04 12:57:30] APNIC      HK         ssh_22          13             
[2025-05-04 12:57:30] APNIC      HK         tls_443         13             
