real-time,time-elapsed,time-remaining,percent-complete,hit-rate,active-send-threads,sent-total,sent-last-one-sec,sent-avg-per-sec,sent-bandwidth-last-one-sec,sent-bandwidth-avg-per-sec,recv-success-total,recv-success-last-one-sec,recv-success-avg-per-sec,recv-total,recv-total-last-one-sec,recv-total-avg-per-sec,pcap-drop-total,drop-last-one-sec,drop-avg-per-sec,sendto-fail-total,sendto-fail-last-one-sec,sendto-fail-avg-per-sec
2025-03-30 15:21:34,0,0,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:35,1,180,0.615442,0.000000,1,1,1,1,752,675,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:36,2,170,1.229102,0.000000,1,2,1,1,752,710,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:37,3,166,1.842682,0.000000,1,3,1,1,752,723,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:38,4,163,2.456247,0.000000,1,4,1,1,752,729,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:39,5,161,3.069794,0.000000,1,5,1,1,752,734,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:40,6,160,3.683338,0.000000,1,6,1,1,752,736,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:38,4,95,4.208624,0.000000,1,7,-0,2,-0,1252,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2025-03-30 15:21:39,5,82,5.966443,0.000000,1,10,3,2,2256,1444,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:40,6,87,6.592319,0.000000,1,11,1,2,752,1333,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:41,7,92,7.214820,0.000000,1,12,1,2,752,1252,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:42,8,96,7.835160,0.000000,1,13,1,2,752,1191,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:43,9,99,8.454257,0.000000,1,14,1,2,752,1143,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:44,10,102,9.072083,0.000000,1,15,1,1,752,1104,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:45,11,104,9.689262,0.000000,1,16,1,1,752,1073,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:46,12,106,10.306189,0.000000,1,17,1,1,752,1045,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:47,13,107,10.922225,0.000000,1,18,1,1,752,1023,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:48,14,109,11.537929,0.000000,1,19,1,1,752,1004,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:49,15,110,12.153320,0.000000,1,20,1,1,752,987,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:50,16,110,12.768471,0.000000,1,21,1,1,752,973,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:51,17,111,13.383808,0.000000,1,22,1,1,752,959,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:52,18,112,13.999005,0.000000,1,23,1,1,752,947,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:53,19,112,14.613745,0.000000,1,24,1,1,752,937,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:54,20,112,15.228604,0.000000,1,25,1,1,752,927,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:55,21,113,15.843157,0.000000,1,26,1,1,752,919,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:56,22,113,16.457690,0.000000,1,27,1,1,752,911,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:57,23,113,17.072031,0.000000,1,28,1,1,752,904,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:58,24,113,17.686355,0.000000,1,29,1,1,752,898,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:21:59,25,112,18.300524,0.000000,1,30,1,1,752,892,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:00,26,112,18.914716,0.000000,1,31,1,1,752,886,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:01,27,112,19.529140,0.000000,1,32,1,1,752,881,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:02,28,112,20.143162,0.000000,1,33,1,1,752,876,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:03,29,111,20.757381,0.000000,1,34,1,1,752,872,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:04,30,111,21.371713,0.000000,1,35,1,1,752,867,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:05,31,111,21.985776,0.000000,1,36,1,1,752,864,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:06,32,110,22.599688,0.000000,1,37,1,1,752,860,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:07,33,110,23.213592,0.000000,1,38,1,1,752,857,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:08,34,109,23.827451,0.000000,1,39,1,1,752,854,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:09,35,109,24.441314,0.000000,1,40,1,1,752,851,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:10,36,108,25.055272,0.000000,1,41,1,1,752,848,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:08,34,97,26.180080,0.000000,1,43,-1,1,-752,940,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2025-03-30 15:22:09,35,93,27.380165,0.000000,1,45,2,1,1504,955,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:10,36,93,27.995115,0.000000,1,46,1,1,752,950,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:22:11,37,93,28.609842,0.000000,1,47,1,1,752,944,0,0,0,1,1,0,0,0,0,0,0,0
2025-03-30 15:22:12,38,93,29.224659,0.000000,1,48,1,1,752,939,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:13,39,92,29.839299,0.000000,1,49,1,1,752,934,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:14,40,92,30.453894,0.000000,1,50,1,1,752,930,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:15,41,91,31.068454,0.000000,1,51,1,1,752,926,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:16,42,91,31.683142,0.000000,1,52,1,1,752,921,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:17,43,91,32.297549,0.000000,1,53,1,1,752,917,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:18,44,90,32.912000,0.000000,1,54,1,1,752,914,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:19,45,90,33.526395,0.000000,1,55,1,1,752,910,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:20,46,89,34.140868,0.000000,1,56,1,1,752,906,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:21,47,89,34.755149,0.000000,1,57,1,1,752,903,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:22,48,88,35.369772,0.000000,1,58,1,1,752,900,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:23,49,88,35.983981,0.000000,1,59,1,1,752,897,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:24,50,87,36.598183,0.000000,1,60,1,1,752,894,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:25,51,86,37.212529,0.000000,1,61,1,1,752,891,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:26,52,86,37.826816,0.000000,1,62,1,1,752,888,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:27,53,85,38.441146,0.000000,1,63,1,1,752,885,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:28,54,85,39.056354,0.000000,1,64,1,1,752,882,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:29,55,84,39.671509,0.000000,1,65,1,1,752,879,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:31,56,83,40.286597,0.000000,1,66,1,1,752,876,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:32,57,83,40.900982,0.000000,1,67,1,1,752,874,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:33,58,82,41.515038,0.000000,1,68,1,1,752,872,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:34,59,81,42.129047,0.000000,1,69,1,1,752,870,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:35,60,81,42.743144,0.000000,1,70,1,1,752,868,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:36,61,80,43.357267,0.000000,1,71,1,1,752,866,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:37,62,79,43.971354,0.000000,1,72,1,1,752,864,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:38,63,79,44.585262,0.000000,1,73,1,1,752,862,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:39,64,78,45.199153,0.000000,1,74,1,1,752,860,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 15:22:40,65,77,45.813037,0.000000,1,75,1,1,752,859,0,0,0,1,0,0,0,0,0,0,0,0
